task_id,phase,title,why,inputs,outputs,acceptance,status,priority,depends_on,evidence,updated_at
CI-REC-001,1,Аудит полной цепочки,Нужна доказанная причина 79 отказов,"Actions logs; workflows; local checks",challenge_findings.md,Причины remote и local failures подтверждены,done,P0,,"run 31604185637; local commands",2026-08-13
CI-REC-002,2,Обновить dependency security layer,Устранить critical advisory,"package-lock.json; npm registry",package.json и package-lock.json,"npm audit --audit-level=high passes",done,P0,CI-REC-001,"Tailwind 4.3.3; npm audit: 0 vulnerabilities",2026-08-13
CI-REC-003,3,Единый quality gate,Direct push сейчас обходит PR checks,"pr-check.yml; deploy.yml",reusable CI contract,PR и main выполняют одинаковые blockers,done,P0,CI-REC-001,"actionlint; full local quality matrix",2026-08-13
CI-REC-004,4,Harden deployment preflight,Ошибки secrets/path обнаруживаются поздно,"deploy.yml; secrets contract",fail-fast preflight,Пустые или unsafe значения блокируются до SSH,done,P0,CI-REC-003,"deploy-config-preflight-self-test passed",2026-08-13
CI-REC-005,5,Переносимые smoke artifacts,Runner evidence сейчас теряется,"visual-smoke.mjs; deploy.yml",Actions artifacts,Stable workspace paths и always-upload contract валидны,done,P1,CI-REC-004,"actionlint; post-deploy-smoke artifact contract",2026-08-13
CI-REC-006,6,Убрать stale sign-off blocker,Historical tmp paths ломают clean runner,"release sign-off; deploy.yml",generic current-run gate,Deploy не читает historical tmp manifests,done,P0,CI-REC-003,"release sign-off self-test passed; historical draft removed from deploy",2026-08-13
CI-REC-007,7,Полная локальная валидация,Нужна проверяемая готовность,"all changed files",validation evidence,Все доступные non-mutating gates passed,done,P0,"CI-REC-002;CI-REC-003;CI-REC-004;CI-REC-005;CI-REC-006","actionlint; PHP lint; npm/JS/CSS/security/release checks",2026-08-13
CI-REC-008,8,Опубликовать GitHub fix и проверить run,Только remote checks доказывают runner compatibility,"branch; PR; Actions checks",draft PR и green Quality Gate,PR checks completed successfully,done,P0,CI-REC-007,"PR #45; run 31690737872 success",2026-08-13
CI-REC-009,14,Настроить production и выполнить controlled deploy,Только полный run доказывает guarded file-only delivery,"verified plan; staging evidence or approved waiver; keys; environments; approval",verified dual baseline smoke and monitoring evidence,"Approved plan artifact is applied under lock; smoke passes; two BASE copies match",blocked,P0,"CI-REC-012;CI-REC-013;CI-REC-014;CI-REC-015","Нужны reconciliation; trusted apply; GitHub controls; staging decision; отдельное production approval",2026-08-13
CI-REC-010,9,Зафиксировать и почелленджить E2E production contract,Нельзя перезаписывать production или выдавать план безопасным без trust/data boundaries,"deploy.yml; ADR-002; ADR-013; challenge findings; user requirement",revised production-drift-reconciliation-plan.md,"FILE_ONLY trust model deploy scope bootstrap lock rollback staging and acceptance documented",done,P0,CI-REC-008,"revised plan; challenge_findings E2E-CH-001..012",2026-08-13
CI-REC-011,10,Включить E2E contract в операционную модель,Разовый PM-план не гарантирует применение будущими релизами и агентами,"revised plan; challenge findings; workflow and agent sources",accepted ADR-013 workflow governance instructions gaps and synchronized registers,"Canonical process and architecture sources agree; acceptance is not presented as executable enforcement",done,P0,CI-REC-010,"ADR-013; production-deployment-governance.md; AGENTS and DevOps instructions",2026-08-13
CI-REC-012,11,Подключить bitrix через dedicated read-only key и выполнить inventory,Достоверного BASE сейчас нет а personal shell key не доказывает read-only boundary,"pinned host key; personal bootstrap approval; dedicated key; forced-command wrapper; canonical PROD_WEB_ROOT",verified dedicated access two stable read-only manifests and redacted two-way report,"Personal key is not used by tooling; wrapper denies shell SFTP rsync PTY forwarding and writes; consecutive manifests match; origin/main is candidate not BASE",blocked,P0,CI-REC-016,"Нужны trusted host fingerprint; dedicated key generation; wrapper installation; env mode/path fix; решение revoke либо break-glass для personal authorization",2026-08-14
CI-REC-013,12,Перенести или отклонить production drift,Ручные server changes должны пройти Git review и не повторяться как вечный blocker,"two-way report; candidate artifact",clean reconciliation commits and durable decisions,"All drift items resolved; decisions bind path PROD hash action approver and scope; quality/re-scan pass",blocked,P0,CI-REC-012,"Ждёт фактический read-only inventory и решений по каждому drift item",2026-08-13
CI-REC-014,13,Реализовать trusted guarded apply,Нужны isolation integrity lock backup restore and exact artifact promotion,"accepted ADR; deploy-scope; reconciled PROD; deploy workflow",immutable artifact trusted controller dual BASE plan lock backup restore apply verify rollback fixtures,"PR gets no prod secrets; privileged job runs no candidate scripts; lock and restore fixtures pass; changed PROD aborts",planned,P0,"CI-REC-016;CI-REC-013",,2026-08-13
CI-REC-015,14,Настроить staging decision и GitHub controls,Production approval должен быть least-privilege и связан с exact plan,"staging or waiver; production-readonly; production; CODEOWNERS; ruleset",staging evidence or waiver keys environments reviewers protected controller paths,"Personal key absent from GitHub; PR secrets forbidden; approval binds plan ID and artifact digest",blocked,P0,CI-REC-014,"Требует staging решения действий владельца GitHub и настройки server keys/wrappers",2026-08-13
CI-REC-016,10,Реализовать contract и local tooling,Принятый process должен получить единый исполняемый source для artifact scan dry-run apply и rollback,"ADR-013; production governance; .env names; dedicated local key contract",deploy-scope classifier canonical schema env SSH and fixture tooling,"No source/eval secret output password fallback or personal key selection; strict SSH argv and directory/root/generated/tombstone negative fixtures pass",done,P0,CI-REC-011,"prod:contract:self-test; prod:scope:prepare 375 entries hash 2cd54724b29b343623473d74d020c1559a97387b80a1bb451b02b8ea59ce5b73; actual preflight failed closed before network on env mode 0644; GitHub run 31745423204 success for 778c12e9",2026-08-14
