risk_id,risk,impact,likelihood,status,owner_or_role,mitigation,source,updated_at,notes
R-001,Deployment secrets отсутствуют,critical,certain,open,DevOps,"После tooling настроить отдельные production-readonly и production secrets по github_handoff.md","gh secret list: repository and production environment empty",2026-08-13,Значения secrets не читать и не логировать; личный key не использовать
R-002,Quality failure после production mutation,critical,high,mitigated-local,DevOps,Reusable quality gate выполняется до deployment mutation,.github/workflows/deploy.yml,2026-08-13,Нужен remote run
R-003,Historical tmp evidence ломает clean runner,high,certain,resolved,DevOps,Historical draft удалён из generic deploy path,release sign-off self-test,2026-08-13,
R-004,Критическая уязвимость transitive tar,high,high,resolved,DevOps,Tailwind 4.3.3 и blocking npm audit,npm audit,2026-08-13,0 vulnerabilities
R-005,SSH/rsync steps не проверялись 79 запусков,critical,unknown,open,DevOps,"После ADR scope fixtures inventory reconciliation staging decision and approval выполнить controlled FILE_ONLY run",Actions history,2026-08-13,Secrets сами по себе больше не считаются достаточным unblock
R-006,Direct push обходит PR workflow,high,high,open,Repository owner,Настроить branch protection или ruleset для main,"branch protection 404; rulesets []",2026-08-13,PR Quality Gate работает но не обязателен
R-007,rsync --delete удаляет server-owned tacticum_config.php,critical,high,mitigated-local,DevOps,Source-relative exclude и behavioral self-test,deploy-rsync-filter-self-test.sh,2026-08-13,Нужен controlled remote run
R-008,Dependency update рассинхронизирует tracked generated CSS,high,certain,resolved,DevOps,Пересобрать bundle и выполнить css plus injected browser smoke,"e2e:css-js:local; PR run 31690737872",2026-08-13,Повторный PR run зелёный
R-009,Ручные production-изменения будут удалены rsync --delete,critical,high,open,DevOps,"Блокирующий BASE/PROD/CANDIDATE scan; redacted review; reconciliation before apply",production-drift-reconciliation-plan.md,2026-08-13,Текущий deploy workflow drift gate не содержит
R-010,Production snapshot или diff раскроет secrets/PII,critical,medium,open,Security/DevOps,"Strict allowlist; server-owned exclusions; local 0700 temp; secret scan; redacted artifacts; no raw snapshot upload",production-drift-reconciliation-plan.md,2026-08-13,Даже repo-owned code требует secret scan перед показом diff
R-011,Production изменится между согласованием или во время rsync,critical,medium,open,DevOps,"Immutable plan_id; two-pass manifest; server exclusive lock from final scan through post-apply manifest",production-drift-reconciliation-plan.md,2026-08-13,Lock and TOCTOU gates ещё не реализованы
R-012,Первый baseline ошибочно приписывается origin/main,critical,high,open,DevOps,"Mark BASE_UNKNOWN; inventory and reconcile; write manifest only after checksum-verified controlled deploy",production-drift-reconciliation-plan.md,2026-08-13,Исторический deployed commit не подтверждён
R-013,Личный SSH key используется штатным tooling или попадает в CI,critical,medium,open,Security/DevOps,"Personal key only explicit bootstrap/break-glass; dedicated local forced-command read-only key; separate CI readonly/write keys",production-drift-reconciliation-plan.md,2026-08-14,Client flags не делают personal bitrix shell credential read-only; revoke после bootstrap либо принять отдельную break-glass policy
R-014,PR или candidate-controlled process получит production SSH credential,critical,medium,open,Security/DevOps,"No prod secrets on PR events; immutable unprivileged artifact; trusted controller; no npm/package scripts in privileged job",production-drift-reconciliation-plan.md,2026-08-13,Current workflow still keeps SSH agent before later npm ci
R-015,File rollback не восстанавливает config DB или iblock state,critical,high,open,Architect/DevOps,"First contour FILE_ONLY; stateful classifier blocks apply; separate migration lane required",production-drift-reconciliation-plan.md,2026-08-13,Stateful lane intentionally out of first implementation
R-016,Deploy scope расходится между manifest dry-run apply и explicit deletion,critical,high,mitigated-local,DevOps,"One machine-readable contract for authoritative dirs exact root files exclusions generated files and tombstones",production-drift-reconciliation-plan.md,2026-08-14,"Local manifest classifier and rsync fixtures derive from deploy-scope.json; current production deploy/apply still must be migrated to the trusted contract"
R-017,Server-side BASE может быть подменён тем же write user,critical,medium,open,Security/DevOps,"Dual BASE copies in independent trust domains with artifact/run/integrity binding",production-drift-reconciliation-plan.md,2026-08-13,Durable external store not selected
R-018,In-place multi-step deploy отдаёт смешанное состояние,critical,medium,open,DevOps,"Accepted transitional server lock plus delay-updates/delete-delay; atomic release feasibility as separate ADR",production-drift-reconciliation-plan.md,2026-08-13,Residual risk принят как strategy boundary но apply ждёт fixtures и exact approval
R-019,Production является первой полноценной integration environment,high,unknown,open,QA/DevOps,"Require staging evidence or explicit user-approved bounded waiver before production apply",production-drift-reconciliation-plan.md,2026-08-13,Staging availability not confirmed
R-020,Локальный env или SSH config выбирает небезопасный credential/fallback,high,high,open,Security/DevOps,"Allowlisted parser; mode 0600; dedicated existing key paths; pinned known-hosts; fixed strict argv; no passwords or user-config weakening; server wrapper fixes state paths",production-drift-reconciliation-plan.md,2026-08-14,"Current env mode 0644; dedicated private/public/known-hosts files not ready; default SSH permits interactive trust/password and multiple identities"
